"","Diptera","Ephemeroptera","Cyclopoida","Coleoptera","undetermined_arthropoda","undetermined_cnidaria","Lepidoptera","Naviculales","Cichliformes","Venerida","Tubificida","undetermined_ascomycota","Crassiclitellata","Hymenoptera","Amphipoda","Sporidiobolales","undetermined_playhelminthes","Unionida","Hypocreales","undetermined_chlorophyta","Melosirales","Pythiales","Saccharomycetales","samplesite"
"G08-I08_S229_F_filt.fastq",337,0,8,55,336,19,0,4018,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,"Littoral"
"G08-I09_S202_F_filt.fastq",35,23,0,0,8,25,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G08E05_S180_F_filt.fastq",2666,22,534,0,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B-08_S228_F_filt.fastq",99,0,110,34,368,43,0,37,0,0,0,0,0,101,0,0,0,0,0,5,0,0,0,"Littoral"
"G09-B-08_S275_F_filt.fastq",20,0,349,0,1172,96,0,7,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B06_S278_F_filt.fastq",24,10,11,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B06_S64_F_filt.fastq",0,29194,26,0,25,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B07_S17_F_filt.fastq",0,0,0,0,9,0,8965,37,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B07_S58_F_filt.fastq",8,39,17,0,14,0,407,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B08_S141_F_filt.fastq",0,0,0,0,1156,102,0,112,0,0,0,0,0,530,0,0,0,0,0,48,0,0,0,"Littoral"
"G09-B08_S30_F_filt.fastq",1745,9,283,0,38,11,0,52,0,0,0,0,0,1803,0,0,0,0,6,0,0,0,0,"Littoral"
"G09-B09_S106_F_filt.fastq",135,11,0,0,59,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-B10_S82_F_filt.fastq",54,1356,24,0,38,0,0,0,0,0,0,0,0,1708,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-C01_S132_F_filt.fastq",56,87,28,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,"Littoral"
"G09-C02_S105_F_filt.fastq",400,13882,2,0,235,166,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,"Littoral"
"G09-C02_S205_F_filt.fastq",0,23466,4,0,1524,170,0,10,0,0,0,0,0,154,0,0,0,0,0,41,0,0,0,"Littoral"
"G09-C03_S34_F_filt.fastq",24,0,6,0,34,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-C04_S92_F_filt.fastq",12,0,0,0,32,15,0,0,0,0,0,57,0,0,0,0,0,0,0,9,0,0,0,"Littoral"
"G09-C05_S116_F_filt.fastq",0,4997,0,0,2873,248,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"Littoral"
"G09-C05_S130_F_filt.fastq",43,537,17,0,534,125,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,"Littoral"
"G09-C05_S178_F_filt.fastq",33,6108,9,0,196,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"Littoral"
"G09-C05_S54_F_filt.fastq",24,22295,44,0,555,21,0,121,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"Littoral"
"G09-C07_S149_F_filt.fastq",0,9,0,0,517,361,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-C07_S26_F_filt.fastq",53,7,17,0,86,1185,0,11,613,0,0,0,0,9,0,0,0,0,5,25,5,0,0,"Littoral"
"G09-C08_S117_F_filt.fastq",11,3,0,0,503,1622,0,0,0,0,68,0,0,0,0,0,774,0,0,33,0,0,0,"Littoral"
"G09-C08_S13_F_filt.fastq",2,0,0,0,127,619,0,0,154,0,0,0,0,0,0,0,296,0,0,45,0,0,0,"Littoral"
"G09-C08_S50_F_filt.fastq",0,58,33,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G09-C09_S10_F_filt.fastq",0,0,39,0,6,33,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,"Littoral"
"G10-E02_S183_F_filt.fastq",44,22,8,0,24,60,0,226,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-E02_S273_F_filt.fastq",23,0,32,0,22,341,0,693,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-E03_S193_F_filt.fastq",0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-E04_S145_F_filt.fastq",0,0,0,0,8,150,0,940,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,"Benthic"
"G10-E06_S68_F_filt.fastq",0,0,0,0,58,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-E08_S29_F_filt.fastq",35,0,4,0,0,20,0,1393,0,0,0,0,0,12,0,0,0,0,0,0,67,0,0,"Benthic"
"G10-E10_S5_F_filt.fastq",832,0,339,0,1074,1529,0,12,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-F01_S101_F_filt.fastq",87,0,140,0,27,17,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-F03_S201_F_filt.fastq",49,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-F04_S267_F_filt.fastq",45,0,4,0,159,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-F07_S104_F_filt.fastq",71,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-F08_S25_F_filt.fastq",28,0,7,0,0,860,0,0,612,0,0,0,0,9,0,0,0,0,903,9,0,0,0,"Benthic"
"G10-F09_S114_F_filt.fastq",15,7,0,0,0,139,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,24,0,"Benthic"
"G10-F09_S125_F_filt.fastq",56,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,"Benthic"
"G10-F10_S151_F_filt.fastq",0,0,0,0,0,15,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-G01_S115_F_filt.fastq",0,0,126,0,14,17,0,619,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,"Benthic"
"G10-G03_S139_F_filt.fastq",0,0,13,0,5,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-G03_S81_F_filt.fastq",145,12,130,0,113,17,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-G03_S91_F_filt.fastq",4,0,14,0,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-G03-GL_S129_F_filt.fastq",751,6,106,20,1412,11,0,16,0,12,10,0,0,0,6,0,0,0,0,0,0,0,0,"Benthic"
"G10-G03GL_S20_F_filt.fastq",0,0,0,0,0,0,14,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10-G05_S223_F_filt.fastq",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-G05_S283_F_filt.fastq",6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,"Littoral"
"G10-G07_S44_F_filt.fastq",8,2,15,0,9,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-G08-GL-ONLY_S284_F_filt.fastq",22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-G09-GL_S282_F_filt.fastq",0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-G10_S53_F_filt.fastq",18,85,37,0,10,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-H01_S73_F_filt.fastq",7,0,3,0,24,5,0,0,19,0,0,0,0,0,0,0,0,0,0,21,0,0,0,"Littoral"
"G10-H01_S78_F_filt.fastq",3,0,0,0,113,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-H02_S285_F_filt.fastq",0,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,"Littoral"
"G10-H02_S56_F_filt.fastq",4,47,16,0,4,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-H03_S225_F_filt.fastq",337,0,10,116,32,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-H04_S121_F_filt.fastq",0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"Littoral"
"G10-H05_S32_F_filt.fastq",12,0,0,0,0,0,0,34,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"Littoral"
"G10-H07-GL-ONLY_S21_F_filt.fastq",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Littoral"
"G10D09_S195_F_filt.fastq",5,0,0,62,43,7,0,69,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,"Benthic"
"G10E01_S176_F_filt.fastq",28,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10E01-GL_S248_F_filt.fastq",43,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10E07_S247_F_filt.fastq",43,0,7,0,64,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G10F05_S213_F_filt.fastq",0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"Benthic"
"G10F05_S8_F_filt.fastq",0,0,0,0,6,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Benthic"
"G10F08-GL_S272_F_filt.fastq",0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benthic"
"G11-A07-GL-ONLY_S153_F_filt.fastq",46,0,68,0,55,15,0,10,0,0,0,54,11,0,0,0,0,0,0,0,0,0,0,"Littoral"
