SEQ,Kingdom,Phylum,Class,Order,Family,Genus,Species,SEQ
SEQ63,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ63
SEQ68,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ68
SEQ7,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ7
SEQ75,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ75
SEQ78,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ78
SEQ80,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ80
SEQ86,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ86
SEQ87,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ87
SEQ93,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ93
SEQ97,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ97
SEQ98,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ98
SEQ158,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ158
SEQ77,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ77
SEQ829,Metazoa,Chordata,Actinopteri,undetermined,undetermined,undetermined,undetermined,SEQ829
