,Filtered_reads
G10-G08-GL-ONLY_S284_F_filt.fastq,51649
G10-G09-GL_S282_F_filt.fastq,54494
G10-G10_S53_F_filt.fastq,8436
G10-H01_S73_F_filt.fastq,34228
G10-H01_S78_F_filt.fastq,41401
G10-H02_S285_F_filt.fastq,59658
G10-H02_S56_F_filt.fastq,88949
G10-H03_S225_F_filt.fastq,36613
G10-H04_S121_F_filt.fastq,27914
G10-H05_S32_F_filt.fastq,20600
G10-H05GL_S211_F_filt.fastq,66654
G10-H06_S148_F_filt.fastq,0
G10-H07-GL-ONLY_S21_F_filt.fastq,66685
G10-I06_S219_F_filt.fastq,49980
G10-I06_S49_F_filt.fastq,57423
G10-I06-GL_S1_F_filt.fastq,477
G10-J06_S52_F_filt.fastq,0
G10D08_S175_F_filt.fastq,32392
G10D08-GL_S42_F_filt.fastq,43544
G10D09_S195_F_filt.fastq,27892
G10D09_S66_F_filt.fastq,49368
G10E01_S176_F_filt.fastq,29662
G10E01-GL_S248_F_filt.fastq,35844
G10E07_S247_F_filt.fastq,34338
G10F05_S213_F_filt.fastq,77957
G10F05_S8_F_filt.fastq,37052
G10F08-GL_S272_F_filt.fastq,20620
G10G05GL_S67_F_filt.fastq,83079
G10H10-GL-ONLY_S43_F_filt.fastq,54880
G10I05_S244_F_filt.fastq,7
G10I05_S253_F_filt.fastq,39635
G10I05-GL_S243_F_filt.fastq,44189
G10J03_S199_F_filt.fastq,21790
G10J03GL_S210_F_filt.fastq,76322
G11-A02_S128_F_filt.fastq,36990
G11-A02-GL_S235_F_filt.fastq,70292
G11-A07-GL-ONLY_S153_F_filt.fastq,1068
NO-ID_S251_F_filt.fastq,41017
Undetermined_S0_F_filt.fastq,648521
